N,artifact_prob,artifact_selected,candidate_count,clip_quantile,condition,energy_tail_gap,global_weight,invalid_low_energy_rate,method,mode_entropy,near_valid_prob,pool_true_score,pool_valid_rate,regime,score_execution_spearman,seed,selected_energy,selected_mode_frequency,selected_shortcut,selected_true_score,selected_valid,selection_index,shortcut_weight,trial
1,,0.0,1.0,,base,0.0,,0.0,min_energy,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.14601320583123995,1.0,0.10220872843441246,1.0,1.0,0,,0
1,,0.0,1.0,,base,0.0,,0.0,calibrated_clipped,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.14601320583123995,1.0,0.10220872843441246,1.0,1.0,0,,0
1,,0.0,1.0,,base,0.0,,0.0,diversity_constrained,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.14601320583123995,1.0,0.10220872843441246,1.0,1.0,0,,0
2,,0.0,2.0,,base,0.0375085000942218,,0.0,min_energy,0.6931471805599453,,1.0,1.0,budget_sweep,-1.0,0,0.14601320583123995,0.5,0.10220872843441246,1.0,1.0,0,,0
2,,0.0,2.0,,base,0.0375085000942218,,0.0,calibrated_clipped,0.6931471805599453,,1.0,1.0,budget_sweep,-1.0,0,0.14601320583123995,0.5,0.10220872843441246,1.0,1.0,0,,0
2,,0.0,2.0,,base,0.0375085000942218,,0.0,diversity_constrained,0.6931471805599453,,1.0,1.0,budget_sweep,-1.0,0,0.14601320583123995,0.5,0.10220872843441246,1.0,1.0,0,,0
4,,0.0,4.0,,base,0.07570756741441209,,0.0,min_energy,1.3862943611198906,,0.7083333333333334,0.5,budget_sweep,0.8,0,0.14601320583123995,0.25,0.10220872843441246,1.0,1.0,0,,0
4,,0.0,4.0,,base,0.07570756741441209,,0.0,calibrated_clipped,1.3862943611198906,,0.7083333333333334,0.5,budget_sweep,0.8,0,0.14601320583123995,0.25,0.10220872843441246,1.0,1.0,0,,0
4,,0.0,4.0,,base,0.07570756741441209,,0.0,diversity_constrained,1.3862943611198906,,0.7083333333333334,0.5,budget_sweep,0.8,0,0.14601320583123995,0.25,0.10220872843441246,1.0,1.0,0,,0
8,,0.0,8.0,,base,0.13155562621701528,,0.0,min_energy,2.0794415416798357,,0.8333333333333334,0.625,budget_sweep,0.8333333333333334,0,0.025800492874811613,0.125,0.13633149580457035,1.0,1.0,4,,0
8,,0.0,8.0,,base,0.042536802141048255,,0.0,calibrated_clipped,2.0794415416798357,,0.8333333333333334,0.625,budget_sweep,0.8333333333333334,0,0.11481931695077864,0.125,0.10461834959869537,1.0,1.0,5,,0
8,,0.0,8.0,,base,0.13155562621701528,,0.0,diversity_constrained,2.0794415416798357,,0.8333333333333334,0.625,budget_sweep,0.8333333333333334,0,0.025800492874811613,0.125,0.13633149580457035,1.0,1.0,4,,0
16,,0.0,16.0,,base,0.13047867444338268,,0.5,min_energy,2.772588722239781,,0.78125,0.5625,budget_sweep,0.7,0,0.025800492874811613,0.0625,0.13633149580457035,1.0,1.0,4,,0
16,,0.0,16.0,,base,0.04145985036741566,,0.5,calibrated_clipped,2.772588722239781,,0.78125,0.5625,budget_sweep,0.7,0,0.11481931695077864,0.0625,0.10461834959869537,1.0,1.0,5,,0
16,,0.0,16.0,,base,0.13047867444338268,,0.5,diversity_constrained,2.772588722239781,,0.78125,0.5625,budget_sweep,0.7,0,0.025800492874811613,0.0625,0.13633149580457035,1.0,1.0,4,,0
32,,1.0,32.0,,base,2.1135821235056755,,0.5,min_energy,3.4657359027997265,,0.609375,0.4375,budget_sweep,0.4563782991202346,0,-1.9520000000000008,0.03125,1.3500000000000003,0.0,0.0,19,,0
32,,0.0,32.0,,base,0.07145005811859552,,0.5,calibrated_clipped,3.4657359027997265,,0.609375,0.4375,budget_sweep,0.4563782991202346,0,0.09013206538707912,0.03125,0.116572555808468,1.0,1.0,15,,0
32,,1.0,32.0,,base,1.9925595265711986,,0.5,diversity_constrained,3.4657359027997265,,0.609375,0.4375,budget_sweep,0.4563782991202346,0,-1.830977403065524,0.03125,1.2039280072846605,0.0,0.0,16,,0
64,,1.0,64.0,,base,2.1135821235056755,,0.5714285714285714,min_energy,4.1588830833596715,,0.5859375,0.4375,budget_sweep,0.5898809523809524,0,-1.9520000000000008,0.015625,1.3500000000000003,0.0,0.0,19,,0
64,,0.0,64.0,,base,0.11439727430303476,,0.5714285714285714,calibrated_clipped,4.1588830833596715,,0.5859375,0.4375,budget_sweep,0.5898809523809524,0,0.047184849202639885,0.015625,0.11720224681767914,1.0,1.0,62,,0
64,,1.0,64.0,,base,1.9925595265711986,,0.5714285714285714,diversity_constrained,4.1588830833596715,,0.5859375,0.4375,budget_sweep,0.5898809523809524,0,-1.830977403065524,0.015625,1.2039280072846605,0.0,0.0,16,,0
128,,1.0,128.0,,base,2.1006444427402315,,1.0,min_energy,4.841199839223365,,0.5885416666666667,0.4296875,budget_sweep,0.4333283739241897,0,-1.9520000000000008,0.0078125,1.3500000000000003,0.0,0.0,19,,0
128,,0.0,128.0,,base,0.10145959353759065,,1.0,calibrated_clipped,4.841199839223365,,0.5885416666666667,0.4296875,budget_sweep,0.4333283739241897,0,0.047184849202639885,0.0078125,0.11720224681767914,1.0,1.0,62,,0
128,,1.0,128.0,,base,2.075471243434519,,1.0,diversity_constrained,4.841199839223365,,0.5885416666666667,0.4296875,budget_sweep,0.4333283739241897,0,-1.9268268006942886,0.0078125,1.1958921087915517,0.16666666666666663,0.0,97,,0
256,,1.0,256.0,,base,2.2029834980714806,,1.0,min_energy,5.512686170390815,,0.5716145833333334,0.4296875,budget_sweep,0.4444366559853513,0,-2.055333333333334,0.0078125,1.3500000000000003,0.16666666666666663,0.0,187,,0
256,,0.0,256.0,,base,0.12431200637787036,,1.0,calibrated_clipped,5.512686170390815,,0.5716145833333334,0.4296875,budget_sweep,0.4444366559853513,0,0.023338158360276265,0.00390625,0.12599624873639823,1.0,1.0,136,,0
256,,1.0,256.0,,base,2.13867472525559,,1.0,diversity_constrained,5.512686170390815,,0.5716145833333334,0.4296875,budget_sweep,0.4444366559853513,0,-1.9910245605174437,0.00390625,1.156910754185627,0.33333333333333337,0.0,196,,0
512,,1.0,512.0,,base,2.2012666536693724,,1.0,min_energy,6.171826608731194,,0.5673828125,0.42578125,budget_sweep,0.4327776847941772,0,-2.055333333333334,0.005859375,1.3500000000000003,0.16666666666666663,0.0,187,,0
512,,0.0,512.0,,base,0.14371820609225153,,1.0,calibrated_clipped,6.171826608731194,,0.5673828125,0.42578125,budget_sweep,0.4327776847941772,0,0.0022151142437869635,0.001953125,0.12837235623663798,1.0,1.0,298,,0
512,,1.0,512.0,,base,2.1369578808534824,,1.0,diversity_constrained,6.171826608731194,,0.5673828125,0.42578125,budget_sweep,0.4327776847941772,0,-1.9910245605174437,0.001953125,1.156910754185627,0.33333333333333337,0.0,196,,0
1,,0.0,1.0,,base,0.0,,0.0,min_energy,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.16039117584266693,1.0,0.08833613616080267,1.0,1.0,0,,1
1,,0.0,1.0,,base,0.0,,0.0,calibrated_clipped,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.16039117584266693,1.0,0.08833613616080267,1.0,1.0,0,,1
1,,0.0,1.0,,base,0.0,,0.0,diversity_constrained,-0.0,,1.0,1.0,budget_sweep,0.0,0,0.16039117584266693,1.0,0.08833613616080267,1.0,1.0,0,,1
2,,0.0,2.0,,base,0.004969507325045391,,1.0,min_energy,0.6931471805599453,,0.9166666666666667,0.5,budget_sweep,-1.0,0,0.15045216119257612,0.5,0.127597848543231,0.8333333333333334,0.0,1,,1
2,,0.0,2.0,,base,-0.004969507325045419,,1.0,calibrated_clipped,0.6931471805599453,,0.9166666666666667,0.5,budget_sweep,-1.0,0,0.16039117584266693,0.5,0.08833613616080267,1.0,1.0,0,,1
2,,0.0,2.0,,base,0.004969507325045391,,1.0,diversity_constrained,0.6931471805599453,,0.9166666666666667,0.5,budget_sweep,-1.0,0,0.15045216119257612,0.5,0.127597848543231,0.8333333333333334,0.0,1,,1
4,,0.0,4.0,,base,0.3754341505262012,,1.0,min_energy,1.3862943611198906,,0.6666666666666667,0.25,budget_sweep,-0.8,0,-0.2200124820085797,0.25,0.5043254927124924,0.0,0.0,3,,1
4,,0.0,4.0,,base,-0.004969507325045419,,1.0,calibrated_clipped,1.3862943611198906,,0.6666666666666667,0.25,budget_sweep,-0.8,0,0.16039117584266693,0.25,0.08833613616080267,1.0,1.0,0,,1
