preset,method,N,replicates,candidate_budget,evaluation_budget,selected_energy_mean,selected_energy_stderr,selected_true_score_mean,selected_true_score_stderr,selected_valid_mean,selected_valid_stderr,selected_shortcut_mean,selected_shortcut_stderr,energy_tail_gap_mean,energy_tail_gap_stderr,invalid_low_energy_rate_mean,invalid_low_energy_rate_stderr,pool_valid_rate_mean,pool_valid_rate_stderr,pool_true_score_mean,pool_true_score_stderr,score_execution_spearman_mean,score_execution_spearman_stderr,mode_entropy_mean,mode_entropy_stderr,selected_mode_frequency_mean,selected_mode_frequency_stderr,artifact_selected_mean,artifact_selected_stderr
full,calibrated_clipped,1,480,1,1,-0.03484193398572349,0.03531696222115899,0.55,0.021087810213033433,0.42916666666666664,0.022615172124183548,0.2834996020418595,0.016616507092744693,0.0,0.0,0.5708333333333333,0.02261517212418355,0.42916666666666664,0.022615172124183548,0.55,0.021087810213033433,0.0,0.0,0.0,0.0,1.0,0.0,0.15625,0.016590105554108177
full,calibrated_clipped,2,480,2,2,-0.39834891788149424,0.039788753764035956,0.61875,0.02032202820764785,0.49375,0.02284379823834187,0.41938535054179965,0.020844975220227744,0.37861955309882567,0.018425500277246966,0.51875,0.02282951416738862,0.39166666666666666,0.01579579295016909,0.5354166666666667,0.01504010929782109,0.2625,0.044088868074608226,0.6931471805599453,0.0,0.5,0.0,0.28541666666666665,0.0206347090416846
full,calibrated_clipped,4,480,4,4,-0.15368092146253096,0.027488096991723707,0.8381944444444444,0.015244627527688235,0.7604166666666666,0.01950232359809697,0.2535287791078519,0.01436547501601722,0.2821116298046181,0.015334920728272139,0.5333333333333333,0.022794758622210982,0.3885416666666667,0.011406021856026044,0.5270833333333333,0.010734115537484747,0.3095833333333333,0.02755047849153446,1.3855723328068072,0.0007220283130832765,0.25052083333333336,0.0005208333333333331,0.12291666666666666,0.015002307388448599
full,calibrated_clipped,8,480,8,8,-0.41400833258624203,0.03421924667332537,0.7618055555555555,0.018292297084275592,0.7104166666666667,0.020724096006832102,0.3774378256561968,0.018605695093183362,0.5920595331448856,0.03185282760564056,0.73125,0.020255334486415578,0.3919270833333333,0.007984888750902303,0.5302517361111112,0.007732643694496751,0.3566468253968254,0.018059230270564837,2.0769144425840436,0.0009491526530605707,0.12604166666666666,0.0005191997694559468,0.25416666666666665,0.01989355663157021
full,calibrated_clipped,16,480,16,16,-0.2886777143087517,0.02822256335448295,0.8229166666666666,0.016531744093867512,0.7958333333333333,0.018417714020669298,0.309669823904714,0.015728093147827964,0.4472897383901812,0.02715244850871535,0.8364583333333333,0.013009280713572444,0.40208333333333335,0.005548233874336328,0.5370225694444445,0.005259036847531423,0.34834558823529416,0.012597051628669129,2.7676468998577497,0.0009745955076650054,0.06341145833333334,0.0003423344564042724,0.1875,0.01783382760649326
full,calibrated_clipped,32,480,32,32,-0.2494982365885993,0.02400592479753036,0.8576388888888888,0.015142048812691569,0.8375,0.016855876235732196,0.28214852777619304,0.013722585966357623,0.3981034046688604,0.02344096599769297,0.8963541666666667,0.008218886997521097,0.39798177083333336,0.003925177004680248,0.5328450520833333,0.0037053958438804566,0.3612437377810362,0.009086669391020204,3.4575449530088203,0.000922012370462236,0.0318359375,0.0001936746304133532,0.15625,0.016590105554108177
full,calibrated_clipped,64,480,64,64,-0.11956236005051787,0.015525580349448804,0.9482638888888888,0.009511043932387563,0.9395833333333333,0.010886249304308844,0.20120903048021851,0.008768137918742825,0.2658009200252722,0.015167617215250425,0.9681547619047619,0.0040757363529107075,0.3939453125,0.00268717830825664,0.5302246093749999,0.0026191006431384232,0.36609966422466417,0.006283800429658481,4.142127344028638,0.0009571329363679334,0.015852864583333334,0.00010757302762592257,0.058333333333333334,0.010708761320036531
full,calibrated_clipped,128,480,128,128,-0.06476260680091551,0.008572218575945601,0.9833333333333333,0.00555265523922343,0.98125,0.006197588173227303,0.1671826148061043,0.004977700259848525,0.21116689401773325,0.008375289494444629,0.9891025641025641,0.002201761627790797,0.39033203125,0.0019851645438518765,0.5290581597222223,0.0018828134006812303,0.381732111792712,0.004482872857399326,4.822196120904171,0.0009469788932897668,0.007893880208333334,3.6242057348721756e-05,0.01875,0.006197588173227302
full,diversity_constrained,1,480,1,1,-0.03484193398572349,0.03531696222115899,0.55,0.021087810213033433,0.42916666666666664,0.022615172124183548,0.2834996020418595,0.016616507092744693,0.0,0.0,0.5708333333333333,0.02261517212418355,0.42916666666666664,0.022615172124183548,0.55,0.021087810213033433,0.0,0.0,0.0,0.0,1.0,0.0,0.15625,0.016590105554108177
full,diversity_constrained,2,480,2,2,-0.39875598794287337,0.03977843250846881,0.6152777777777778,0.020274536367526828,0.48125,0.022829514167388622,0.42042293312454865,0.020819489315746103,0.3790266231602047,0.018408019656060412,0.51875,0.02282951416738862,0.39166666666666666,0.01579579295016909,0.5354166666666667,0.01504010929782109,0.2625,0.044088868074608226,0.6931471805599453,0.0,0.5,0.0,0.28541666666666665,0.0206347090416846
full,diversity_constrained,4,480,4,4,-0.7833324203593363,0.04161669104408674,0.5496527777777778,0.02116101016258884,0.4666666666666667,0.022794758622210982,0.6009089911006651,0.023036519104685828,0.9117631287014235,0.03638403029194595,0.5333333333333333,0.022794758622210982,0.3885416666666667,0.011406021856026044,0.5270833333333333,0.010734115537484747,0.3095833333333333,0.02755047849153446,1.3855723328068072,0.0007220283130832765,0.25052083333333336,0.0005208333333333331,0.45416666666666666,0.02274939745723237
full,diversity_constrained,8,480,8,8,-1.2428005912021654,0.03754790319702941,0.3503472222222222,0.019283885093357,0.2708333333333333,0.02030470593914973,0.8472322344465862,0.020926108836414204,1.420851791760809,0.03630307581937634,0.73125,0.020255334486415578,0.3919270833333333,0.007984888750902303,0.5302517361111112,0.007732643694496751,0.3566468253968254,0.018059230270564837,2.0769144425840436,0.0009491526530605707,0.1265625,0.0006345499510650519,0.69375,0.021060650933560975
full,diversity_constrained,16,480,16,16,-1.7090628863859,0.021364252378008937,0.1579861111111111,0.011442330649992387,0.0625,0.01106007036940545,1.0996851827370946,0.012189424910890175,1.8676749104673296,0.020940350853071617,0.8364583333333333,0.013009280713572444,0.40208333333333335,0.005548233874336328,0.5370225694444445,0.005259036847531423,0.34834558823529416,0.012597051628669129,2.7676468998577497,0.0009745955076650054,0.0640625,0.0004824495720760682,0.9291666666666667,0.0117218968074521
full,diversity_constrained,32,480,32,32,-1.8907993141150286,0.007703171587100476,0.14374999999999996,0.005742249170779515,0.0,0.0,1.1877318274278337,0.005300635429104042,2.0394044821952892,0.007887352694080927,0.8963541666666667,0.008218886997521097,0.39798177083333336,0.003925177004680248,0.5328450520833333,0.0037053958438804566,0.3612437377810362,0.009086669391020204,3.4575449530088203,0.000922012370462236,0.03268229166666667,0.000325806133673985,0.9958333333333333,0.0029432012010966657
full,diversity_constrained,64,480,64,64,-1.937673625494051,0.00446449982668612,0.18993055555555552,0.005221268635144067,0.0,0.0,1.195409994036228,0.004210977584155712,2.0839121854688054,0.00461133421132602,0.9681547619047619,0.0040757363529107075,0.3939453125,0.00268717830825664,0.5302246093749999,0.0026191006431384232,0.36609966422466417,0.006283800429658481,4.142127344028638,0.0009571329363679334,0.016927083333333332,0.00021285115350108135,1.0,0.0
full,diversity_constrained,128,480,128,128,-1.9739355585302227,0.0042679501942785554,0.23819444444444443,0.004836193885241985,0.0,0.0,1.2018995832728592,0.004242769726656579,2.120339845747041,0.004257247713005018,0.9891025641025641,0.002201761627790797,0.39033203125,0.0019851645438518765,0.5290581597222223,0.0018828134006812303,0.381732111792712,0.004482872857399326,4.822196120904171,0.0009469788932897668,0.009309895833333333,0.00017271116110186116,1.0,0.0
